size_sqm,bedrooms,location,price
91.39,4,City Center,309942.55
147.18,6,Downtown,574593.68
90.79,5,Rural,137935.33
128.66,5,City Center,442712.03
121.82,4,Downtown,468972.06
93.94,4,Rural,137796.99
205.76,8,Rural,285512.76
145.36,7,Rural,206067.76
38.99,1,Rural,52700.3
127.46,6,Downtown,507027.6
93.53,4,Suburban,230130.08
154.1,7,Industrial,307067.0
88.3,3,Industrial,170261.76
115.41,4,Industrial,209559.81
140.2,6,Suburban,341082.98
154.63,7,Rural,218050.21
71.99,3,Rural,94056.14
106.62,4,City Center,357018.85
101.0,4,Industrial,186309.28
93.87,3,Industrial,167644.25
190.62,8,Rural,272301.17
136.2,6,Industrial,273913.9
69.56,2,Rural,82470.64
156.71,6,Rural,226649.48
204.89,8,Rural,294693.25
161.3,6,Downtown,625662.14
59.23,2,Downtown,220953.2
100.63,3,Downtown,383829.23
170.68,7,Downtown,666715.56
91.69,3,Suburban,218884.44
137.75,5,City Center,461140.33
150.99,7,City Center,518245.09
82.92,4,Rural,126832.78
117.62,4,Industrial,214226.48
30.0,1,Downtown,108408.0
79.02,3,City Center,274618.48
109.9,5,City Center,387334.82
70.09,2,Downtown,269269.35
185.3,8,Suburban,444682.9
62.79,2,Suburban,146621.69
102.4,3,City Center,342556.66
125.23,5,Suburban,304242.25
177.65,8,Downtown,703172.26
62.57,4,City Center,220677.54
166.53,6,Downtown,640907.93
120.41,5,Suburban,284372.64
80.74,3,Downtown,315167.79
138.48,6,Suburban,345741.28
127.96,4,Suburban,294082.78
95.99,3,Downtown,356983.64
122.79,5,Suburban,299111.17
104.59,4,Rural,147459.46
124.54,5,Downtown,490093.43
146.49,6,Rural,206703.23
183.44,8,Downtown,715755.35
70.49,3,Suburban,178850.76
205.32,8,Suburban,488227.67
41.92,2,City Center,139871.46
113.93,4,City Center,381677.79
143.53,6,Rural,210370.69
131.24,5,Suburban,319780.35
95.09,4,City Center,319650.06
111.68,5,Suburban,263839.22
100.28,4,Downtown,381963.87
96.43,3,City Center,326620.23
153.98,6,Rural,205766.08
134.28,6,City Center,467800.86
92.28,4,Suburban,229109.23
155.98,6,Industrial,289958.99
132.29,6,Industrial,250306.97
152.51,6,Suburban,366524.97
145.19,6,Downtown,577176.04
86.84,3,City Center,287358.6
97.59,4,Industrial,189939.14
149.89,6,Downtown,580323.1
144.41,6,Suburban,351856.62
119.16,5,Downtown,468933.78
124.69,6,Suburban,305418.19
171.11,7,City Center,575144.79
96.34,3,Downtown,368734.01
141.88,5,City Center,485145.69
111.91,4,Downtown,437026.03
111.29,4,Suburban,265055.5
163.95,7,Suburban,391672.15
153.02,6,Downtown,585587.29
152.54,6,Suburban,364038.77
172.22,7,Rural,247721.15
120.84,5,Rural,169646.15
147.28,5,City Center,491030.36
107.59,4,Rural,139710.33
132.97,5,Rural,175975.65
114.79,5,Industrial,219930.42
123.88,5,Industrial,229878.76
143.81,5,Industrial,266994.42
87.27,4,Industrial,163816.76
203.7,8,Suburban,492064.98
79.76,3,City Center,277631.91
71.43,3,City Center,246458.37
166.32,6,Rural,227440.43
151.67,6,City Center,518050.52
144.96,6,Rural,212590.79
145.13,5,City Center,492497.46
119.51,5,Downtown,471339.45
84.11,3,Downtown,328454.39
123.03,5,City Center,418581.55
92.91,4,Suburban,235077.06
159.0,6,Rural,223417.79
114.12,4,City Center,384208.11
86.98,3,Rural,113133.11
107.14,4,Industrial,196303.85
136.52,5,City Center,458378.77
97.45,4,Suburban,231763.04
87.11,3,Industrial,161470.78
129.75,5,City Center,443221.47
129.8,4,Downtown,485592.32
99.72,4,City Center,343911.82
101.16,4,Downtown,384411.64
129.28,6,Downtown,518786.99
62.08,2,City Center,210662.88
63.7,1,City Center,207728.35
91.26,3,Downtown,350213.81
111.46,4,Rural,159672.11
132.44,6,Industrial,256769.45
179.01,7,Suburban,437970.5
154.31,6,City Center,516779.15
113.6,5,Industrial,222846.69
119.24,4,Industrial,213306.03
79.9,4,Rural,126419.83
119.26,4,Industrial,210856.21
108.45,4,City Center,361939.96
132.91,4,Industrial,234212.11
86.91,3,City Center,287899.29
140.77,6,City Center,479787.58
181.31,7,Downtown,706932.45
115.65,5,Rural,157668.59
136.07,5,Suburban,318310.94
147.61,6,Downtown,582309.16
103.95,3,Suburban,234994.36
128.96,6,City Center,456124.1
120.5,5,Downtown,479338.94
123.91,5,Industrial,236365.57
89.08,4,Industrial,165974.41
120.98,4,Suburban,290850.81
139.92,5,City Center,460092.79
178.05,7,Suburban,418653.49
158.37,6,Rural,223146.83
206.13,8,Industrial,380985.95
89.31,4,Downtown,357841.34
154.89,7,Downtown,602377.89
127.33,4,Downtown,479324.88
207.59,8,Industrial,391003.18
87.67,3,City Center,286241.21
86.41,3,Industrial,152947.69
96.02,4,Industrial,175063.44
35.04,1,Downtown,136853.6
98.97,5,Industrial,207004.7
89.63,4,Downtown,357004.43
126.02,5,City Center,430233.25
133.67,6,Rural,200523.24
195.05,7,Downtown,756444.92
158.02,6,Suburban,381153.91
96.92,3,Rural,122906.85
84.06,3,City Center,273283.24
139.68,6,Rural,194465.77
67.19,3,Downtown,258079.35
193.26,8,City Center,664886.05
167.18,6,Suburban,398687.21
101.23,4,Downtown,400879.41
51.47,2,Downtown,202420.17
174.15,7,City Center,591876.68
115.42,4,City Center,392261.22
169.51,7,Rural,239267.65
56.22,2,Suburban,127129.79
96.02,4,Rural,133879.0
120.21,5,Rural,166626.75
121.88,5,Downtown,484523.28
102.0,4,City Center,349119.14
144.91,6,Downtown,574995.99
77.3,2,Suburban,175288.37
114.3,5,Rural,171705.82
124.81,5,Suburban,305051.65
140.58,6,City Center,475386.66
148.46,6,City Center,510390.79
75.01,3,Industrial,146263.47
58.64,2,Suburban,136219.87
171.11,7,Downtown,670845.76
133.29,5,Suburban,321976.12
90.06,4,Rural,140028.54
182.05,7,City Center,622703.24
124.63,4,City Center,410709.96
167.17,6,Suburban,394830.77
122.7,4,Suburban,278068.48
202.43,8,Suburban,484850.83
190.21,7,Rural,266500.63
110.04,5,Rural,156214.43
158.86,6,Downtown,615710.93
145.82,6,Suburban,356838.08
174.75,7,Downtown,684843.42
81.4,4,Industrial,165767.59
147.44,6,Rural,206618.06
162.34,6,City Center,555758.94
49.65,1,Industrial,89547.63
72.67,3,City Center,243524.98
38.43,1,Industrial,77335.07
109.22,4,Downtown,430882.04
148.7,6,Downtown,586964.92
180.09,8,Rural,252714.28
122.96,5,City Center,426726.37
185.14,7,Industrial,346916.93
64.8,3,Suburban,161487.88
51.86,2,Suburban,133243.4
117.78,5,Rural,158474.09
135.36,5,City Center,448357.85
118.69,4,Suburban,276610.42
37.3,1,Rural,53362.32
116.44,4,Rural,156162.2
67.82,3,City Center,232468.66
146.79,6,Suburban,358657.8
134.66,5,Suburban,329122.86
82.4,4,Suburban,209625.62
99.45,4,Downtown,384775.63
77.63,2,Suburban,183690.92
117.49,4,Industrial,207355.25
158.21,6,Downtown,621259.92
80.57,4,Downtown,327177.35
140.16,5,Downtown,531554.51
98.79,4,Downtown,386421.93
88.29,4,Rural,123872.09
115.72,4,Industrial,221790.18
78.59,3,City Center,271573.92
97.85,3,Suburban,231979.06
72.08,3,Downtown,282566.1
198.59,8,City Center,671855.02
121.41,5,Rural,163755.54
92.01,4,City Center,315308.94
128.56,5,Downtown,500500.19
115.51,4,Industrial,206265.32
111.16,4,City Center,367918.65
144.57,6,Downtown,572203.34
150.3,6,Downtown,586738.08
98.78,4,Suburban,241706.91
96.97,4,Suburban,237547.54
109.0,5,Industrial,218712.9
30.0,1,Suburban,66628.0
59.39,2,Industrial,99164.54
174.67,7,Rural,240426.97
185.8,7,Rural,264744.71
110.04,5,Suburban,278033.12
143.06,6,Rural,208056.28
132.45,5,City Center,443320.02
243.16,8,City Center,807417.7
164.78,7,City Center,566210.99
114.88,6,Rural,167994.3
81.78,3,City Center,268072.15
55.74,2,Industrial,103157.22
128.14,5,Downtown,493133.91
89.75,2,Suburban,193359.94
63.11,3,Industrial,134185.78
94.14,4,City Center,320235.25
76.74,3,Downtown,296382.28
187.49,7,Suburban,454841.33
155.27,6,Industrial,295277.39
119.68,5,Suburban,296748.19
179.2,8,Rural,257811.77
123.09,5,City Center,420385.2
85.55,4,Industrial,166228.95
180.92,7,Industrial,336746.44
141.56,5,Downtown,545062.41
78.51,3,Downtown,312802.54
112.39,4,Downtown,425105.59
84.98,2,Suburban,193431.54
64.69,3,City Center,228194.03
157.05,7,Suburban,385208.2
196.38,8,City Center,669625.0
64.06,3,Industrial,116231.95
142.52,5,Suburban,332544.54
93.97,4,Suburban,234648.59
100.51,4,Suburban,247006.97
96.3,3,Rural,125101.24
85.44,2,City Center,275087.11
121.94,5,City Center,406999.6
86.76,3,Suburban,205041.99
130.82,5,Rural,174240.27
117.99,5,Suburban,278574.95
110.44,5,City Center,382400.23
83.7,3,Industrial,162694.18
96.93,4,Rural,138321.15
150.22,5,Rural,190650.65
140.04,6,Suburban,333424.38
80.9,4,Industrial,162515.69
123.97,4,City Center,421233.88
150.06,5,Downtown,581712.2
53.22,2,City Center,178666.37
141.73,5,City Center,467569.22
93.5,4,Industrial,182609.57
142.82,5,Rural,194277.95
89.47,3,City Center,298076.9
47.8,2,Rural,61219.72
54.9,3,Industrial,112579.45
121.92,5,Industrial,240275.1
130.39,5,Suburban,305468.8
83.83,3,Downtown,321064.67
145.54,6,Industrial,286595.55
53.54,2,Industrial,109757.8
117.36,5,Rural,160104.81
71.56,3,Industrial,130000.03
93.93,4,City Center,331141.67
121.9,6,Suburban,308964.89
85.58,3,Suburban,202765.93
104.62,4,City Center,349960.33
160.25,6,Industrial,303075.57
96.92,4,Downtown,382544.14
153.43,7,Industrial,292802.53
74.81,4,Suburban,194756.45
141.19,6,Downtown,552382.58
177.66,7,Rural,241020.74
30.0,1,Rural,30275.0
88.12,3,Industrial,156264.28
143.08,7,Industrial,285761.33
111.88,5,Downtown,436271.65
134.85,5,Downtown,512324.42
95.84,4,Industrial,183925.89
123.46,4,Suburban,277721.18
113.77,5,Rural,167418.91
166.71,7,Downtown,649359.49
130.18,6,Suburban,310942.67
133.5,5,Industrial,244569.16
103.52,3,City Center,346785.76
100.5,4,Downtown,389112.13
102.7,5,City Center,356954.02
135.78,5,Suburban,329377.17
103.16,5,Rural,156112.62
131.59,5,Suburban,312228.99
203.02,8,Rural,277049.03
154.84,6,Suburban,377966.98
106.96,5,Downtown,432582.71
168.05,7,Downtown,664879.95
103.68,4,City Center,359814.96
38.48,2,Suburban,91228.04
79.68,4,Suburban,196853.1
45.17,2,City Center,149519.97
105.94,4,Industrial,197151.19
120.74,5,Suburban,289299.47
187.06,7,Suburban,443315.98
133.08,5,Suburban,326095.19
111.24,4,Industrial,211958.97
153.18,6,Downtown,586269.78
31.55,1,City Center,103436.76
129.42,5,Industrial,251307.87
150.83,6,Rural,205720.61
60.86,2,Rural,90621.55
165.75,7,Industrial,310892.24
133.54,6,Industrial,251279.78
103.39,5,Downtown,410698.69
145.31,7,Rural,219124.27
210.83,8,City Center,719812.14
127.27,6,Suburban,318999.3
129.93,5,Suburban,305475.65
101.63,4,Downtown,387184.47
86.01,2,Downtown,313068.79
153.21,7,Rural,222577.43
85.76,4,City Center,300360.94
122.86,5,City Center,411473.95
100.89,4,Industrial,196501.55
139.16,5,Downtown,531215.18
133.35,6,Suburban,336537.97
161.5,7,Suburban,389736.2
99.6,3,Rural,121256.34
109.21,5,Suburban,263453.01
80.85,3,City Center,268908.35
102.23,4,City Center,353546.81
135.09,6,Downtown,532151.07
150.28,6,Rural,204322.54
83.11,3,Suburban,200468.77
154.78,6,Downtown,592341.83
174.23,7,Industrial,323662.27
136.54,6,Industrial,262105.09
195.07,8,Suburban,471374.67
89.05,3,Suburban,198665.86
70.21,3,Suburban,163755.62
48.85,2,City Center,173077.57
179.84,7,Suburban,422963.54
146.17,6,Industrial,288408.94
117.78,6,Suburban,289143.23
131.2,6,Rural,199620.75
74.98,3,Industrial,149928.66
217.83,8,Rural,301400.08
125.17,4,Industrial,219978.27
124.38,5,Downtown,490193.27
149.03,6,Industrial,283079.0
139.24,6,Industrial,268741.55
128.96,5,Rural,185702.36
88.38,3,Rural,121747.02
138.86,5,Industrial,263803.1
195.28,7,Industrial,363753.47
173.82,7,City Center,583480.41
183.73,8,Downtown,719731.13
99.55,4,Downtown,384586.81
80.42,3,Suburban,194499.61
114.97,5,Industrial,229453.78
122.23,4,Industrial,231709.49
163.77,7,Industrial,305844.49
52.3,2,Industrial,96616.12
181.18,8,Downtown,705256.04
113.68,5,Rural,167030.68
102.92,4,City Center,345314.27
79.52,3,Rural,111909.82
53.81,3,Rural,90715.73
152.93,7,Downtown,610103.88
122.93,4,City Center,404643.16
68.4,3,Industrial,130573.35
68.2,3,Downtown,277745.97
106.57,5,Downtown,427143.14
186.76,7,City Center,623808.58
109.62,3,Suburban,240866.69
59.87,3,Downtown,240760.99
110.17,5,Rural,150263.28
109.09,3,Rural,148841.06
30.0,1,Industrial,52716.0
117.83,5,Downtown,466729.72
110.76,5,Industrial,225473.93
147.85,6,Downtown,583940.89
193.96,8,City Center,666115.73
165.06,7,Downtown,656653.1
109.24,4,Suburban,259494.9
75.74,4,Rural,112095.96
222.93,8,City Center,740248.18
122.37,4,Rural,158703.74
120.56,5,Industrial,239049.76
119.03,5,City Center,414042.99
127.92,6,Suburban,317802.78
114.23,4,Rural,163043.58
97.05,4,Downtown,376606.32
98.13,3,Downtown,369032.75
118.69,5,Downtown,472000.54
98.26,3,City Center,321942.03
91.49,3,Suburban,207514.34
124.26,4,Suburban,294706.42
109.8,5,Suburban,273004.82
180.16,8,Rural,263224.72
30.0,1,City Center,99878.0
163.66,7,Downtown,633638.96
169.84,8,Rural,247013.41
37.06,2,Suburban,102534.78
106.29,4,Downtown,411772.74
105.14,6,City Center,378643.1
63.7,2,Industrial,116598.3
88.89,4,Suburban,214559.66
75.58,3,Suburban,180151.93
190.09,8,Suburban,454836.64
157.43,6,Suburban,383312.27
170.86,7,Downtown,664935.71
148.87,5,City Center,490036.65
74.84,3,Rural,99709.93
99.02,3,Downtown,366927.16
139.57,6,City Center,480633.95
71.11,3,Rural,95713.89
148.52,5,Suburban,347207.87
110.39,5,City Center,377891.95
105.01,4,Suburban,242091.34
148.44,5,City Center,499065.2
137.77,5,Industrial,265212.8
105.56,4,Suburban,245813.71
166.37,6,Suburban,400519.38
76.76,3,Suburban,177028.93
144.64,5,Downtown,549149.98
143.72,7,Rural,220109.05
107.62,5,Suburban,273553.28
133.05,5,Suburban,306483.64
69.96,2,Downtown,268301.1
156.96,6,Downtown,599892.78
112.6,5,Industrial,221116.87
99.09,4,City Center,333768.24
161.96,6,Suburban,380873.74
91.83,4,City Center,324534.76
63.66,2,Downtown,234528.42
57.73,2,Downtown,212706.92
144.24,5,Industrial,271553.6
68.78,3,Rural,103415.83
190.19,8,Downtown,744980.19
36.72,1,Suburban,89223.65
187.86,8,Industrial,359232.38
128.44,5,Rural,180855.7
116.13,4,Industrial,218478.21
98.2,4,Downtown,380313.33
135.97,6,Rural,186002.44
118.49,5,City Center,405307.84
164.13,6,Rural,217907.08
124.57,5,Suburban,299693.21
126.01,5,City Center,423156.21
105.46,4,City Center,361044.53
117.72,4,Suburban,282869.35
132.31,5,City Center,441651.21
51.59,3,Downtown,201970.43
66.07,2,Rural,78941.58
149.73,6,Rural,203406.56
126.83,5,Suburban,297390.24
112.64,4,Downtown,429932.33
120.74,4,City Center,398030.07
133.9,5,Rural,174137.27
98.41,4,Rural,131549.61
88.87,4,Rural,127505.81
127.83,5,Rural,180730.81
80.87,3,Industrial,158680.63
136.33,6,Suburban,340378.22
51.9,2,City Center,174014.97
161.17,6,City Center,544122.68
138.9,5,Suburban,323897.8
130.24,5,Downtown,507221.16
159.31,7,Suburban,396110.28
186.62,7,Rural,261488.98
160.57,6,Rural,229874.8
46.37,2,Suburban,104833.06
68.82,2,Suburban,152758.84
95.01,4,City Center,321611.77
121.04,4,City Center,403342.93
140.71,5,Industrial,260659.54
90.97,4,Industrial,169376.37
127.47,5,Rural,172204.67
89.78,4,Industrial,184434.02
95.54,4,Industrial,189345.93
63.73,2,Downtown,233903.45
83.07,3,Suburban,198235.34
65.93,2,City Center,216825.85
80.97,4,Industrial,162196.6
162.15,6,City Center,551869.02
82.02,3,Industrial,154087.07
225.3,8,Industrial,423528.92
139.73,6,Rural,195044.72
127.39,5,Downtown,489699.06
85.67,3,Suburban,202953.38
148.01,6,Suburban,362123.79
96.97,4,Rural,144162.49
124.88,5,Rural,165955.39
222.4,8,Suburban,528869.76
116.16,4,Suburban,278698.21
165.97,7,Downtown,650503.27
91.87,4,Industrial,172261.41
118.6,5,Downtown,473148.61
190.83,8,Suburban,463962.05
94.92,4,Industrial,184749.98
192.5,7,Suburban,452423.88
148.31,7,Downtown,597522.27
97.5,4,Downtown,387071.65
145.3,6,Downtown,560957.08
158.9,6,Industrial,307265.27
144.87,6,City Center,488934.2
57.19,2,City Center,189985.03
90.91,4,Suburban,228150.03
110.1,4,Industrial,195375.88
117.02,5,Rural,175743.66
144.83,6,City Center,495936.65
127.11,4,Industrial,221617.06
66.59,2,Industrial,127760.34
135.21,6,City Center,465095.74
144.42,7,Industrial,278613.14
142.39,6,Industrial,281500.43
163.23,7,City Center,562368.69
153.36,6,Downtown,605795.1
138.37,7,Suburban,352862.41
117.19,4,Rural,162861.37
53.56,2,Suburban,124568.13
137.18,5,Downtown,524430.55
128.31,4,Downtown,496661.28
130.86,5,Industrial,243425.73
68.93,3,Suburban,168474.11
76.76,3,Downtown,289411.08
162.13,6,Suburban,387936.23
118.42,6,Downtown,474142.28
147.26,6,Rural,201631.03
121.13,5,Downtown,476615.57
121.19,5,Suburban,284045.49
157.53,6,Industrial,293215.03
99.36,4,Suburban,238910.42
123.84,5,City Center,422747.49
101.51,5,Suburban,258762.98
102.62,5,Rural,150256.15
107.63,4,Rural,155382.12
128.89,4,Rural,166229.35
100.85,4,Downtown,386176.19
170.23,8,Rural,244982.25
84.22,3,Suburban,198006.42
112.53,5,Industrial,219114.7
102.41,5,Rural,158301.76
177.88,7,Suburban,428787.23
127.86,5,Downtown,493608.67
161.27,5,Downtown,622363.24
60.58,3,Industrial,126732.38
130.68,5,Industrial,243544.02
155.59,6,Suburban,376580.46
123.29,4,Industrial,232944.04
162.62,6,Industrial,313446.82
99.31,4,Downtown,383399.62
176.37,7,Suburban,424200.8
211.96,8,Industrial,392629.89
105.49,5,Suburban,252839.92
102.18,4,Rural,147902.9
178.14,6,Downtown,692680.83
183.18,7,Downtown,712957.1
99.09,4,Downtown,376967.6
103.19,4,City Center,349790.58
108.73,5,Suburban,272680.23
66.22,3,Rural,97673.98
83.25,3,Industrial,152907.88
79.83,3,Rural,116125.37
89.29,4,Suburban,219217.19
118.61,5,Downtown,455368.12
129.37,5,City Center,436854.77
182.02,6,Suburban,420622.04
80.07,4,Suburban,191704.68
159.37,6,Industrial,297636.34
111.44,4,Rural,150152.45
118.02,5,Rural,164784.45
146.99,5,Industrial,272653.17
75.09,2,City Center,240490.36
135.3,4,Downtown,523063.36
126.66,5,Downtown,499575.31
139.7,5,City Center,471828.15
131.57,7,Industrial,268703.12
218.21,8,Suburban,509925.01
94.49,3,Rural,128020.4
98.76,4,Suburban,239914.24
95.07,4,Rural,126573.38
97.78,4,Suburban,235230.83
94.5,4,Industrial,182275.77
167.56,6,Industrial,314579.99
176.82,6,City Center,598588.51
97.17,3,Suburban,216379.3
86.71,2,Suburban,191722.55
138.86,5,City Center,460426.87
97.91,4,City Center,328683.23
145.32,5,Industrial,273416.91
128.12,6,Industrial,254910.38
59.37,3,Suburban,140483.47
181.9,7,Industrial,346133.31
191.84,7,Industrial,367677.66
95.49,4,Suburban,230614.9
104.49,4,City Center,347091.81
131.43,5,Suburban,318252.23
133.38,5,Downtown,510717.95
146.34,6,Suburban,360791.54
200.41,8,Downtown,777655.64
112.92,4,Suburban,266308.22
88.07,4,Downtown,346085.39
64.83,3,Downtown,251176.31
90.76,3,Suburban,220109.6
118.67,5,Industrial,220155.38
191.78,7,Rural,266562.31
99.3,3,Industrial,172124.32
128.95,5,Downtown,510589.31
119.34,4,Suburban,275206.17
167.54,7,Suburban,408123.46
221.08,8,Suburban,524425.59
98.77,5,Suburban,255010.5
100.42,4,Rural,142921.42
161.77,6,City Center,544214.31
147.28,5,Downtown,571586.81
193.87,8,Rural,275299.29
143.36,5,Industrial,261953.69
105.63,4,City Center,355032.95
143.63,5,City Center,483916.58
164.35,6,Suburban,392501.29
152.82,6,Rural,222417.29
140.29,6,Industrial,268185.44
162.67,6,Suburban,378204.98
166.77,6,Suburban,388032.65
